=== FAST IMPACT LAB ===  (46 purchased item groups, wall 79s)
Single-baseline observational model: it does NOT replay the game per item. It compares local before/after windows around each purchase, then adds cycle-speedup signals for meta effects.
Use it for balance direction: strong / weak / late / gate. Keep exact ablation only for suspicious edge cases.
Horizon: 3 prestige(s), seed 12345, window 120 runs before/after.
Baseline reached: 19:21:13 (8 000 runs, 1 prestiges, stop run cap).
PPO first unlocked: 9:58:54.
Run replay cache: 0 hits / 7 993 misses / 7 993 stored deterministic runs.

Item                            Role            Spent  Buy#     First   Cover   Direct Driver             Income    Score    High    Cycle  Payback  Verdict
Upgrade.PassiveYield            Economy          5,2M    14   0:28:03     98% +519900% passive +519900%  +589,2%  +230,3%      4x        —     0,5x  STRONG
Unlock.AutoSolve                Gate             2,4K     2   0:20:23     98% +49282,7% output +49282,7% +1358,3%   +48,8%      8x        —   702,2x  GATE
Unlock.ModifiersMenu            Gate               3M     1   9:49:22     49%    +380% passive +380%    +2301,2%  +213,7%      4x        —  6438,9x  GATE
Modifier.Unstable Stack         Modifier        49,6M     5   9:49:32     49%     +60% output +60%      +2200,1%  +228,6%      4x        —   400,8x  STRONG
Agent.Velocity Trader           Agent             20M     1   9:48:29     49%      +0% output +0%       +1949,9%  +168,7%      4x        —   762,8x  STRONG
Upgrade.Speed                   Throughput       7,9M    14   0:36:37     97% +1509,6% output +1509,6%   +162,2%  +291,7%      1x        —     0,3x  STRONG
Unlock.AutoRestart              Gate              16K     2   0:41:23     96%      +0% output +0%         +95,2%  +176,1%      1x        —   133,3x  GATE
Upgrade.StackCapacity           Gate            13,8M     7   0:56:21     95%    +180% board +180%        +57,6%   +50,8%      1x        —     0,1x  GATE
Upgrade.PassiveTickRate         Economy          6,2M    14   0:38:50     97%   +1020% passive +1020%    +114,2%  +229,5%      1x        —     0,4x  STRONG
Solver.RAND                     Solver             2K     2   0:09:17     99%      +0% output +0%        +617,5%      +7%      2x        —   385,9x  STRONG
Upgrade.ChipYield               Economy         25,1M    14   0:24:39     98%  +381,6% income +381,6%    +814,2%  +145,4%      4x        —     0,1x  STRONG
Unlock.AgentsMenu               Gate             120K     1   6:55:56     64%    +400% output +400%      +483,4%    -7,2%      1x        —   486,8x  STRONG
Solver.BAL                      Solver            12K     2   0:34:33     97%   +82,3% solver +82,3%     +321,3%  +387,4%      4x        —   253,0x  STRONG
Agent.Quartermaster             Agent             60K     1   6:56:40     64%      +8% output +8%        +387,9%    -8,7%      1x        —   939,1x  STRONG
Upgrade.ActiveMultiplier        Economy          5,4M    15   0:30:38     97%    +500% passive +500%     +505,5%  +276,7%      4x        —     0,5x  STRONG
Research.Seed Capital           Meta               1i     1  13:18:12     31%      +0% output +0%          -100%   -98,2%      0x        —        —  STRONG
Agent.Restart Sponsor           Agent            120K     1   6:59:13     64%      +5% output +5%        +191,9%   -10,3%      1x        —   394,4x  STRONG
Solver.HEUR                     Solver            60K     2   1:33:40     92%   +58,6% solver +58,6%      +17,3%      +7%      1x        —    17,2x  STRONG
